,Age,Workclass,Fnlwgt,Education,Education num,Marital Status,Occupation,Relationship,Race,Sex,Capital Gain,capital loss,Hour per week,Native country,income
0,39,6,77516,5,13,1,0,1,4,1,2174,0,40,38,0
1,50,5,83311,5,13,0,3,0,4,1,0,0,13,38,0
2,38,3,215646,2,9,2,5,1,4,1,0,0,40,38,0
3,53,3,234721,4,7,0,5,0,2,1,0,0,40,38,0
4,28,3,338409,5,13,0,9,5,2,0,0,0,40,4,0
5,37,3,284582,1,14,0,3,5,4,0,0,0,40,38,0
6,49,3,160187,4,5,2,7,1,2,0,0,0,16,22,0
7,52,5,209642,2,9,0,3,0,4,1,0,0,45,38,1
8,31,3,45781,1,14,1,9,1,4,0,14084,0,50,38,1
9,42,3,159449,5,13,0,3,0,4,1,5178,0,40,38,1
10,37,3,280464,3,10,0,3,0,2,1,0,0,80,38,1
11,30,6,141297,5,13,0,9,0,1,1,0,0,40,18,1
12,23,3,122272,5,13,1,0,3,4,0,0,0,30,38,0
13,32,3,205019,3,12,1,11,1,2,1,0,0,50,38,0
14,40,3,121772,3,11,0,2,0,1,1,0,0,40,38,1
15,34,3,245487,4,4,0,13,0,0,1,0,0,45,25,0
16,25,5,176756,2,9,1,4,3,4,1,0,0,35,38,0
17,32,3,186824,2,9,1,6,4,4,1,0,0,40,38,0
18,38,3,28887,4,7,0,11,0,4,1,0,0,50,38,0
19,43,5,292175,1,14,2,3,4,4,0,0,0,45,38,1
20,40,3,193524,0,16,0,9,0,4,1,0,0,60,38,1
21,54,3,302146,2,9,2,7,4,2,0,0,0,20,38,0
22,35,0,76845,4,5,0,4,0,2,1,0,0,40,38,0
23,43,3,117037,4,7,0,13,0,4,1,0,2042,40,38,0
24,59,3,109015,2,9,2,12,4,4,0,0,0,40,38,0
25,56,1,216851,5,13,0,12,0,4,1,0,0,40,38,1
26,19,3,168294,2,9,1,2,3,4,1,0,0,40,38,0
27,54,3,180211,3,10,0,9,0,1,1,0,0,60,34,1
28,39,3,367260,2,9,2,3,1,4,1,0,0,80,38,0
29,49,3,193366,2,9,0,2,0,4,1,0,0,40,38,0
30,23,1,190709,3,12,1,10,1,4,1,0,0,52,38,0
31,20,3,266015,3,10,1,11,3,2,1,0,0,44,38,0
32,45,3,386940,5,13,2,3,3,4,1,0,1408,40,38,0
33,30,0,59951,3,10,0,0,3,4,1,0,0,40,38,0
34,22,6,311512,3,10,0,7,0,2,1,0,0,15,38,0
35,48,3,242406,4,7,1,6,4,4,1,0,0,40,32,0
36,21,3,197200,3,10,1,6,3,4,1,0,0,40,38,0
37,19,3,544091,2,9,0,0,5,4,0,0,0,25,38,0
38,31,3,84154,3,10,0,11,0,4,1,0,0,38,38,1
39,48,5,265477,3,12,0,9,0,4,1,0,0,40,38,0
40,31,3,507875,4,5,0,6,0,4,1,0,0,43,38,0
41,53,5,88506,5,13,0,9,0,4,1,0,0,40,38,0
42,24,3,172987,5,13,0,12,0,4,1,0,0,50,38,0
43,49,3,94638,2,9,2,0,4,4,0,0,0,40,38,0
44,25,3,289980,2,9,1,5,1,4,1,0,0,35,38,0
45,57,0,337895,5,13,0,9,0,2,1,0,0,40,38,1
46,53,3,144361,2,9,0,6,0,4,1,0,0,38,38,0
47,44,3,128354,1,14,2,3,4,4,0,0,0,40,38,0
48,41,6,101603,3,11,0,2,0,4,1,0,0,40,38,0
49,29,3,271466,3,11,1,9,1,4,1,0,0,43,38,0
50,25,3,32275,3,10,0,3,5,3,0,0,0,40,38,0
51,18,3,226956,2,9,1,7,3,4,0,0,0,30,38,0
52,47,3,51835,3,15,0,9,5,4,0,0,1902,60,15,1
53,50,0,251585,5,13,2,3,1,4,1,0,0,55,38,1
54,47,4,109832,2,9,2,3,1,4,1,0,0,60,38,0
55,43,3,237993,3,10,0,12,0,4,1,0,0,40,38,1
56,46,3,216666,4,3,0,6,0,4,1,0,0,40,25,0
57,35,3,56352,3,11,0,7,0,4,1,0,0,40,32,0
58,41,3,147372,2,9,0,0,0,4,1,0,0,48,38,0
59,30,3,188146,2,9,0,6,0,4,1,5013,0,40,38,0
60,30,3,59496,5,13,0,11,0,4,1,2407,0,40,38,0
61,32,3,293936,4,4,2,9,1,4,1,0,0,40,38,0
62,48,3,149640,2,9,0,13,0,4,1,0,0,40,38,0
63,42,3,116632,0,16,0,9,0,4,1,0,0,45,38,1
64,29,3,105598,3,10,2,12,1,4,1,0,0,58,38,0
65,36,3,155537,2,9,0,2,0,4,1,0,0,40,38,0
66,28,3,183175,3,10,2,0,1,4,0,0,0,40,38,0
67,53,3,169846,2,9,0,0,5,4,0,0,0,40,38,1
68,49,4,191681,3,10,0,3,0,4,1,0,0,50,38,1
69,25,3,200681,3,10,1,9,3,4,1,0,0,40,38,0
70,19,3,101509,3,10,1,9,3,4,1,0,0,32,38,0
71,31,3,309974,5,13,2,11,3,2,0,0,0,40,38,0
72,29,5,162298,5,13,0,11,0,4,1,0,0,70,38,1
73,23,3,211678,3,10,1,6,1,4,1,0,0,40,38,0
74,79,3,124744,3,10,0,9,2,4,1,0,0,20,38,0
75,27,3,213921,2,9,1,7,3,4,1,0,0,40,25,0
76,40,3,32214,3,12,0,0,0,4,1,0,0,40,38,0
77,67,3,212759,4,6,0,9,0,4,1,0,0,2,38,0
78,18,3,309634,4,7,1,7,3,4,0,0,0,22,38,0
79,31,1,125927,4,4,0,4,0,4,1,0,0,40,38,0
80,18,3,446839,2,9,1,11,1,4,1,0,0,30,38,0
81,52,3,276515,5,13,0,7,0,4,1,0,0,40,4,0
82,46,3,51618,2,9,0,7,5,4,0,0,0,40,38,0
83,59,3,159937,2,9,0,11,0,4,1,0,0,48,38,0
84,44,3,343591,2,9,2,2,1,4,0,14344,0,40,38,1
85,53,3,346253,2,9,2,11,3,4,0,0,0,35,38,0
86,49,1,268234,2,9,0,10,0,4,1,0,0,40,38,1
87,33,3,202051,1,14,0,9,0,4,1,0,0,50,38,0
88,30,3,54334,4,5,1,11,1,4,1,0,0,40,38,0
89,43,0,410867,0,16,1,9,1,4,0,0,0,50,38,1
90,57,3,249977,3,11,0,9,0,4,1,0,0,40,38,0
91,37,3,286730,3,10,2,2,4,4,0,0,0,40,38,0
92,28,3,212563,3,10,2,6,4,2,0,0,0,25,38,0
93,30,3,117747,2,9,0,11,5,1,0,0,1573,35,38,0
94,34,1,226296,5,13,0,10,0,4,1,0,0,40,38,1
95,29,1,115585,3,10,1,5,1,4,1,0,0,50,38,0
96,48,5,191277,0,16,0,9,0,4,1,0,1902,60,38,1
97,37,3,202683,3,10,0,11,0,4,1,0,0,48,38,1
98,48,3,171095,3,12,2,3,4,4,0,0,0,40,8,0
99,32,0,249409,2,9,1,7,3,2,1,0,0,40,38,0
100,76,3,124191,1,14,0,3,0,4,1,0,0,40,38,1
101,44,3,198282,5,13,0,3,0,4,1,15024,0,60,38,1
102,47,5,149116,1,14,1,9,1,4,0,0,0,50,38,0
103,20,3,188300,3,10,1,12,3,4,0,0,0,40,38,0
104,29,3,103432,2,9,1,2,1,4,1,0,0,40,38,0
105,32,4,317660,2,9,0,2,0,4,1,7688,0,40,38,1
106,17,3,304873,4,6,1,9,3,4,0,34095,0,32,38,0
107,30,3,194901,4,7,1,5,3,4,1,0,0,40,38,0
108,31,1,189265,2,9,1,0,1,4,0,0,0,40,38,0
109,42,3,124692,2,9,0,5,0,4,1,0,0,40,38,0
110,24,3,432376,5,13,1,11,2,4,1,0,0,40,38,0
111,38,3,65324,3,15,0,9,0,4,1,0,0,40,38,1
112,56,5,335605,2,9,0,7,0,4,1,0,1887,50,1,1
113,28,3,377869,3,10,0,11,5,4,0,4064,0,25,38,0
114,36,3,102864,2,9,1,6,3,4,0,0,0,40,38,0
115,53,3,95647,4,5,0,5,0,4,1,0,0,50,38,0
116,56,4,303090,3,10,0,11,0,4,1,0,0,50,38,0
117,49,1,197371,3,11,0,2,0,2,1,0,0,40,38,1
118,55,3,247552,3,10,0,11,0,4,1,0,0,56,38,0
119,22,3,102632,2,9,1,2,1,4,1,0,0,41,38,0
120,21,3,199915,3,10,1,7,3,4,0,0,0,40,38,0
121,40,3,118853,5,13,0,3,0,4,1,0,0,60,38,0
122,30,3,77143,5,13,1,3,3,2,1,0,0,40,10,0
123,29,6,267989,5,13,0,9,0,4,1,0,0,50,38,1
124,19,3,301606,3,10,1,7,3,2,1,0,0,35,38,0
125,47,3,287828,5,13,0,3,5,4,0,0,0,40,38,1
126,20,3,111697,3,10,1,0,3,4,0,0,1719,28,38,0
127,31,3,114937,3,12,0,0,0,4,1,0,0,40,38,1
128,35,3,129305,2,9,0,9,0,4,1,0,0,40,38,0
129,39,3,365739,3,10,2,2,1,4,1,0,0,40,38,0
130,28,3,69621,3,12,1,11,1,4,0,0,0,60,38,0
131,24,3,43323,2,9,1,7,1,4,0,0,1762,40,38,0
132,38,5,120985,2,9,0,2,0,4,1,4386,0,35,38,0
133,37,3,254202,5,13,0,11,0,4,1,0,0,50,38,0
134,46,3,146195,3,12,2,12,1,2,0,0,0,36,38,0
135,38,0,125933,1,14,0,9,0,4,1,0,0,40,19,1
136,43,5,56920,2,9,0,2,0,4,1,0,0,60,38,0
137,27,3,163127,3,11,0,0,5,4,0,0,0,35,38,0
138,20,3,34310,3,10,1,11,3,4,1,0,0,20,38,0
139,49,3,81973,3,10,0,2,0,1,1,0,0,40,38,1
140,61,4,66614,2,9,0,2,0,4,1,0,0,40,38,0
141,27,3,232782,3,10,1,11,3,4,0,0,0,40,38,0
142,19,3,316868,3,10,1,7,3,4,1,0,0,30,25,0
143,45,3,196584,3,11,1,9,1,4,0,0,1564,40,38,1
144,70,3,105376,3,10,1,12,2,4,1,0,0,40,38,0
145,31,3,185814,2,9,1,13,4,2,0,0,0,30,38,0
146,22,3,175374,3,10,0,7,0,4,1,0,0,24,38,0
147,36,3,108293,2,9,2,7,4,4,0,0,0,24,38,0
148,64,3,181232,4,7,0,2,0,4,1,0,2179,40,38,0
149,43,3,174662,3,10,2,9,1,4,0,0,0,40,38,0
150,47,1,186009,3,10,2,0,4,4,0,0,0,38,25,0
151,34,3,198183,2,9,1,0,1,4,0,0,0,40,38,0
152,33,3,163003,5,13,1,3,2,1,0,0,0,40,29,0
153,21,3,296158,2,9,1,2,3,4,1,0,0,35,38,0
154,52,3,252903,2,9,2,9,1,4,1,0,0,45,38,1
155,48,3,187715,2,9,0,2,0,4,1,0,0,46,38,0
156,23,3,214542,5,13,1,5,1,4,1,0,0,40,38,0
157,71,5,494223,3,10,2,11,4,2,1,0,1816,2,38,0
158,29,3,191535,2,9,2,2,1,4,1,0,0,60,38,0
159,42,3,228456,5,13,2,7,2,2,1,0,0,50,38,0
160,68,3,38317,4,2,2,9,1,4,0,0,0,20,38,0
161,25,3,252752,2,9,1,7,4,4,0,0,0,40,38,0
162,44,4,78374,1,14,2,3,4,1,0,0,0,40,38,0
163,28,3,88419,2,9,1,3,1,1,0,0,0,40,8,0
164,45,5,201080,1,14,0,11,0,4,1,0,0,40,38,1
165,36,3,207157,3,10,2,7,4,4,0,0,0,40,25,0
166,39,0,235485,3,12,1,3,1,4,1,0,0,42,38,0
167,46,6,102628,1,14,2,10,4,4,1,0,0,40,38,0
168,18,3,25828,4,7,1,5,3,4,1,0,0,16,38,0
169,66,1,54826,3,11,2,9,1,4,0,0,0,20,38,0
170,27,3,124953,2,9,1,7,1,4,1,0,1980,40,38,0
171,28,6,175325,2,9,0,10,0,4,1,0,0,40,38,0
172,51,3,96062,3,10,0,11,0,4,1,0,1977,40,38,1
173,27,3,428030,5,13,1,2,1,4,1,0,0,50,38,0
174,28,6,149624,5,13,0,9,0,4,1,0,0,40,38,1
175,27,3,253814,2,9,2,11,4,4,0,0,0,25,38,0
176,21,3,312956,2,9,1,2,3,2,1,0,0,40,38,0
177,34,3,483777,2,9,1,5,1,2,1,0,0,40,38,0
178,18,3,183930,2,9,1,7,3,4,1,0,0,12,38,0
179,33,3,37274,5,13,0,9,0,4,1,0,0,65,38,0
180,44,1,181344,3,10,0,3,0,2,1,0,0,38,38,1
181,43,3,114580,3,10,2,0,1,4,0,0,0,40,38,0
